surface_id,surface,notification_responsibility,verification_owner
S127,System / keyboard accessory,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
S128,System / global notice,Shared notification failure feedback rendering,S128
S129,System / confirmation alert,Shared notification unavailable dialog rendering,S129
S130,System / push cold warm tap,Cold/warm push response handling,S130
S131,System / invitation link,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
S132,System / permission denied recovery,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
S133,Asset Edit / tag selection and creation,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
S134,Asset Move / destination search and selection,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
S135,Asset Move / destination creation,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
S136,Asset Move here / asset search and selection,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
S137,Home return / optional details,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
S138,Home return / save pending and recovery,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
S139,Home return / cancellation and recovery,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
R140,home-return-details.tsx,No surface-owned notification control; shared delivery can interrupt this task,R006/S130 plus this surface lifecycle/editing axes
